TEXTURE AT STRAIN =    1.0000
   2.377   3.107   0.123  <-- length of phase ellipsoid axes
   84.80   60.21  -39.04  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
  151.98   14.52 -118.72   0.0003500
