TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
 -157.04  122.06   87.42  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
  123.01  107.38 -104.00   0.0016500
