TEXTURE AT STRAIN =    0.0500
   1.011   1.018   0.971  <-- length of phase ellipsoid axes
   -8.59    3.09   -1.49  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
  173.47   39.97 -109.43   0.0016500
