TEXTURE AT STRAIN =    0.1000
   1.126   1.178   0.742  <-- length of phase ellipsoid axes
  -19.34    1.45   -8.55  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
  149.52   73.66 -151.02   0.0003500
