TEXTURE AT STRAIN =    0.5500
   1.203   1.213   0.682  <-- length of phase ellipsoid axes
    1.84    1.38  -34.18  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
  159.24   47.80 -108.56   0.0016500
