TEXTURE AT STRAIN =    0.8500
   1.358   1.381   0.528  <-- length of phase ellipsoid axes
   -1.20    1.77  -24.47  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
  159.48   40.17 -104.85   0.0016500
