TEXTURE AT STRAIN =    1.0000
   2.146   3.293   0.131  <-- length of phase ellipsoid axes
   98.33    9.34 -140.64  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
  102.69    8.66 -102.20   0.0003500
