TEXTURE AT STRAIN =    0.1000
   1.124   1.190   0.735  <-- length of phase ellipsoid axes
  120.13    0.46    0.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
  120.01   89.98 -117.75   0.0003500
