TEXTURE AT STRAIN =    0.4500
   1.731   2.022   0.266  <-- length of phase ellipsoid axes
 -115.20    1.12   89.48  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
  160.01   89.64 -179.93   0.0003500
