TEXTURE AT STRAIN =    0.8000
   1.323   1.421   0.528  <-- length of phase ellipsoid axes
  -37.09    1.69  101.46  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
  148.96   85.30 -144.45   0.0016500
