TEXTURE AT STRAIN =    0.8500
   1.355   1.397   0.523  <-- length of phase ellipsoid axes
   17.05    3.34  -19.02  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
  165.60   35.53 -133.61   0.0016500
