TEXTURE AT STRAIN =    1.0000
   2.366   3.071   0.127  <-- length of phase ellipsoid axes
  177.41   40.80 -122.82  <-- Euler angles (deg) of phase ellipsoid axes
B       500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
   73.66   29.63 -102.53   0.0003500
