TEXTURE AT STRAIN =    0.7000
   1.855   2.446   0.206  <-- length of phase ellipsoid axes
 -102.71    1.65  150.25  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
  126.99   49.03 -135.50   0.0003500
