TEXTURE AT STRAIN =    0.2000
   1.174   1.331   0.627  <-- length of phase ellipsoid axes
 -156.81    3.09 -171.96  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
  122.15   43.90 -127.87   0.0003500
