TEXTURE AT STRAIN =    1.0000
   2.403   3.136   0.122  <-- length of phase ellipsoid axes
  -43.12   42.01  100.81  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
  141.82    7.72 -140.90   0.0003500
