TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
 -137.35   97.49  108.73  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
  152.61   40.00 -152.61   0.0003500
