  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6
   0.000   8.000   0.135   0.175   0.030   0.002   0.000   0.170
   0.025   8.000   0.131   0.168   0.029   0.002   0.000   0.166
   0.050   8.000   0.127   0.163   0.028   0.001   0.000   0.163
   0.075   8.000   0.124   0.159   0.028   0.001   0.000   0.162
   0.100   8.000   0.123   0.155   0.027   0.001   0.000   0.163
   0.125   8.000   0.122   0.153   0.027   0.001   0.000   0.165
   0.150   8.000   0.122   0.151   0.027   0.001   0.000   0.168
   0.175   8.000   0.122   0.149   0.027   0.000   0.000   0.172
   0.200   8.000   0.122   0.148   0.026   0.000   0.001   0.177
   0.225   8.000   0.124   0.148   0.026   0.000   0.001   0.182
   0.250   8.000   0.125   0.148   0.025   0.000   0.001   0.189
   0.275   8.000   0.127   0.148   0.025   0.000   0.001   0.195
   0.300   8.000   0.129   0.149   0.024   0.000   0.001   0.202
   0.325   8.000   0.131   0.150   0.023   0.000   0.001   0.210
   0.350   8.000   0.134   0.151   0.023   0.000   0.001   0.217
   0.375   8.000   0.136   0.153   0.022   0.000   0.001   0.225
   0.400   8.000   0.139   0.154   0.021   0.000   0.001   0.232
   0.425   8.000   0.141   0.156   0.020   0.000   0.001   0.239
   0.450   7.000   0.143   0.158   0.019   0.000   0.001   0.246
   0.475   7.000   0.145   0.160   0.018   0.000   0.001   0.253
   0.500   8.000   0.147   0.162   0.017   0.000   0.000   0.260
   0.525   8.000   0.149   0.164   0.017   0.000   0.000   0.266
   0.550   9.000   0.151   0.166   0.016   0.000   0.000   0.272
   0.575   9.000   0.153   0.168   0.015   0.000   0.000   0.277
   0.600   9.000   0.154   0.170   0.015   0.000   0.000   0.282
   0.625   9.000   0.155   0.172   0.015   0.000   0.000   0.287
   0.650   9.000   0.157   0.174   0.014   0.000   0.000   0.291
   0.675   9.000   0.158   0.176   0.014   0.000   0.000   0.295
   0.700   9.000   0.159   0.177   0.014   0.000   0.000   0.299
   0.725   9.000   0.159   0.179   0.014   0.000   0.000   0.303
   0.750   9.000   0.160   0.180   0.013   0.000   0.000   0.306
   0.775   9.000   0.161   0.182   0.013   0.000   0.000   0.309
   0.800   9.000   0.161   0.183   0.013   0.000   0.000   0.312
   0.825   9.000   0.162   0.184   0.013   0.000   0.000   0.314
   0.850   9.000   0.163   0.185   0.013   0.000   0.000   0.317
   0.875   9.000   0.163   0.186   0.013   0.000   0.000   0.319
   0.900   9.000   0.164   0.187   0.013   0.000   0.000   0.321
   0.925   9.000   0.164   0.188   0.013   0.000   0.000   0.324
   0.950   9.000   0.164   0.189   0.013   0.000   0.000   0.325
   0.975   9.000   0.165   0.190   0.013   0.000   0.000   0.327
   1.000   9.000   0.164   0.190   0.013   0.000   0.000   0.327
