TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  123.59   97.55    0.79  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
  120.00   15.00 -120.00   0.0003500
