TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  -43.81   39.11   77.96  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
  120.00   89.99 -120.00   0.0003500
