TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  135.00   97.78 -180.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
  135.00   15.00 -135.00   0.0003500
