          Evm          Svm            E11          E22          E33          E23          E13          E12         SDEV11       SDEV22       SDEV33       SDEV23       SDEV13       SDEV12      TEMP
  0.00000E+00  0.67350E+02    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.24270E+02  0.20192E+02 -0.44462E+02 -0.26130E+01  0.40751E+01 -0.13167E+01      982.00
  0.24756E-01  0.67057E+02    0.12500E-01  0.12500E-01 -0.25000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.24120E+02  0.20140E+02 -0.44260E+02 -0.26619E+01  0.41892E+01 -0.10461E+01      982.00
  0.49508E-01  0.66822E+02    0.25000E-01  0.25000E-01 -0.50000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.23958E+02  0.20136E+02 -0.44094E+02 -0.27253E+01  0.43031E+01 -0.75677E+00      982.00
  0.74253E-01  0.66700E+02    0.37500E-01  0.37500E-01 -0.75000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.23813E+02  0.20190E+02 -0.44003E+02 -0.27900E+01  0.44182E+01 -0.40486E+00      982.00
  0.98992E-01  0.66677E+02    0.50000E-01  0.50000E-01 -0.10000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.23684E+02  0.20292E+02 -0.43976E+02 -0.28492E+01  0.45271E+01  0.14381E-01      982.00
  0.12373E+00  0.66749E+02    0.62500E-01  0.62500E-01 -0.12500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.23573E+02  0.20436E+02 -0.44009E+02 -0.29033E+01  0.46278E+01  0.48379E+00      982.00
  0.14845E+00  0.66906E+02    0.75000E-01  0.75000E-01 -0.15000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.23482E+02  0.20611E+02 -0.44093E+02 -0.29519E+01  0.47186E+01  0.98703E+00      982.00
  0.17316E+00  0.67118E+02    0.87500E-01  0.87500E-01 -0.17500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.23404E+02  0.20802E+02 -0.44206E+02 -0.29958E+01  0.47994E+01  0.15043E+01      982.00
  0.19786E+00  0.67369E+02    0.10000E+00  0.10000E+00 -0.20000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.23344E+02  0.20996E+02 -0.44340E+02 -0.30299E+01  0.48667E+01  0.20244E+01      982.00
  0.22254E+00  0.67640E+02    0.11250E+00  0.11250E+00 -0.22500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.23295E+02  0.21186E+02 -0.44482E+02 -0.30670E+01  0.49283E+01  0.25116E+01      982.00
  0.24720E+00  0.67916E+02    0.12500E+00  0.12500E+00 -0.25000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.23258E+02  0.21366E+02 -0.44623E+02 -0.30956E+01  0.49770E+01  0.29768E+01      982.00
  0.27184E+00  0.68167E+02    0.13750E+00  0.13750E+00 -0.27500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.23221E+02  0.21526E+02 -0.44747E+02 -0.31276E+01  0.50218E+01  0.33880E+01      982.00
  0.29646E+00  0.68399E+02    0.15000E+00  0.15000E+00 -0.30000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.23186E+02  0.21672E+02 -0.44858E+02 -0.31515E+01  0.50534E+01  0.37760E+01      982.00
  0.32105E+00  0.68612E+02    0.16250E+00  0.16250E+00 -0.32500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.23153E+02  0.21805E+02 -0.44959E+02 -0.31761E+01  0.50826E+01  0.41074E+01      982.00
  0.34562E+00  0.68790E+02    0.17500E+00  0.17500E+00 -0.35000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.23112E+02  0.21924E+02 -0.45037E+02 -0.31930E+01  0.50983E+01  0.44256E+01      982.00
  0.37018E+00  0.68933E+02    0.18750E+00  0.18750E+00 -0.37500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.23074E+02  0.22025E+02 -0.45099E+02 -0.32042E+01  0.51134E+01  0.46691E+01      982.00
  0.39471E+00  0.69068E+02    0.20000E+00  0.20000E+00 -0.40000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.23030E+02  0.22126E+02 -0.45155E+02 -0.32140E+01  0.51264E+01  0.49052E+01      982.00
  0.41923E+00  0.69170E+02    0.21250E+00  0.21250E+00 -0.42500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.22976E+02  0.22217E+02 -0.45192E+02 -0.32187E+01  0.51359E+01  0.51166E+01      982.00
  0.44373E+00  0.69248E+02    0.22500E+00  0.22500E+00 -0.45000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.22915E+02  0.22302E+02 -0.45216E+02 -0.32187E+01  0.51444E+01  0.53049E+01      982.00
  0.46821E+00  0.69318E+02    0.23750E+00  0.23750E+00 -0.47500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.22850E+02  0.22386E+02 -0.45236E+02 -0.32151E+01  0.51539E+01  0.54725E+01      982.00
  0.49269E+00  0.69355E+02    0.25000E+00  0.25000E+00 -0.50000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.22775E+02  0.22462E+02 -0.45237E+02 -0.32094E+01  0.51657E+01  0.56197E+01      982.00
  0.51715E+00  0.69385E+02    0.26250E+00  0.26250E+00 -0.52500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.22686E+02  0.22549E+02 -0.45235E+02 -0.31943E+01  0.51716E+01  0.57565E+01      982.00
  0.54159E+00  0.69410E+02    0.27500E+00  0.27500E+00 -0.55000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.22616E+02  0.22617E+02 -0.45233E+02 -0.31910E+01  0.51934E+01  0.58504E+01      982.00
  0.56603E+00  0.69421E+02    0.28750E+00  0.28750E+00 -0.57500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.22526E+02  0.22694E+02 -0.45220E+02 -0.31844E+01  0.52201E+01  0.59487E+01      982.00
  0.59046E+00  0.69431E+02    0.30000E+00  0.30000E+00 -0.60000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.22434E+02  0.22773E+02 -0.45207E+02 -0.31783E+01  0.52511E+01  0.60346E+01      982.00
  0.61487E+00  0.69422E+02    0.31250E+00  0.31250E+00 -0.62500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.22313E+02  0.22870E+02 -0.45184E+02 -0.31632E+01  0.52826E+01  0.61091E+01      982.00
  0.63928E+00  0.69410E+02    0.32500E+00  0.32500E+00 -0.65000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.22208E+02  0.22950E+02 -0.45158E+02 -0.31586E+01  0.53220E+01  0.61686E+01      982.00
  0.66368E+00  0.69404E+02    0.33750E+00  0.33750E+00 -0.67500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.22103E+02  0.23034E+02 -0.45136E+02 -0.31565E+01  0.53656E+01  0.62194E+01      982.00
