TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  105.15   94.13   -6.52  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
  165.00   15.00 -165.00   0.0003500
