TEXTURE AT STRAIN =    0.2500
   1.064   1.086   0.853  <-- length of phase ellipsoid axes
  101.84    2.28   18.31  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
  105.32  137.82 -101.03   0.0016500
