TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
   74.80  143.06  127.62  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
  156.50   61.12 -107.80   0.0016500
