TEXTURE AT STRAIN =    0.4500
   1.163   1.176   0.728  <-- length of phase ellipsoid axes
   -0.62    0.94  107.80  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
  157.12   50.63 -100.52   0.0016500
