TEXTURE AT STRAIN =    1.0000
   1.464   1.495   0.451  <-- length of phase ellipsoid axes
    8.11    2.26   -2.69  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
  159.50   35.97 -137.58   0.0016500
