  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  28.000   0.128   0.126   0.252
   0.025  27.000   0.129   0.126   0.254
   0.050  26.000   0.129   0.127   0.255
   0.075  25.000   0.128   0.126   0.253
   0.100  22.000   0.125   0.125   0.249
   0.125  20.000   0.121   0.123   0.245
   0.150  18.000   0.118   0.122   0.242
   0.175  20.000   0.117   0.122   0.241
   0.200  20.000   0.116   0.123   0.242
   0.225  21.000   0.115   0.124   0.243
   0.250  20.000   0.114   0.123   0.241
   0.275  20.000   0.112   0.122   0.238
   0.300  21.000   0.110   0.120   0.234
   0.325  21.000   0.108   0.117   0.229
   0.350  22.000   0.105   0.114   0.223
   0.375  22.000   0.102   0.111   0.217
   0.400  22.000   0.099   0.108   0.211
   0.425  22.000   0.097   0.105   0.205
   0.450  22.000   0.094   0.102   0.199
   0.475  21.000   0.091   0.098   0.193
   0.500  22.000   0.089   0.096   0.187
   0.525  22.000   0.086   0.093   0.182
   0.550  22.000   0.084   0.090   0.177
   0.575  22.000   0.081   0.088   0.172
   0.600  21.000   0.079   0.086   0.167
   0.625  20.000   0.077   0.083   0.163
   0.650  21.000   0.075   0.082   0.160
   0.675  21.000   0.074   0.080   0.157
   0.700  21.000   0.073   0.079   0.154
   0.725  23.000   0.072   0.077   0.152
   0.750  22.000   0.071   0.077   0.150
   0.775  21.000   0.071   0.076   0.149
   0.800  21.000   0.071   0.075   0.148
   0.825  21.000   0.071   0.075   0.147
   0.850  22.000   0.071   0.075   0.147
   0.875  22.000   0.071   0.074   0.147
   0.900  22.000   0.071   0.074   0.147
   0.925  20.000   0.072   0.074   0.147
   0.950  20.000   0.072   0.075   0.148
   0.975  20.000   0.072   0.075   0.148
   1.000  20.000   0.073   0.075   0.149
