TEXTURE AT STRAIN =    1.0000
   2.360   3.161   0.123  <-- length of phase ellipsoid axes
 -142.06   57.29   88.19  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
  141.30    3.65 -145.67   0.0003500
