TEXTURE AT STRAIN =    1.0000
   2.608   3.003   0.116  <-- length of phase ellipsoid axes
  123.76   80.46  -26.35  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
  109.64   27.45 -117.45   0.0003500
