TEXTURE AT STRAIN =    0.4000
   1.103   1.138   0.765  <-- length of phase ellipsoid axes
  105.28    2.56   -9.89  <-- Euler angles (deg) of phase ellipsoid axes
B       500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
   95.47  147.40 -103.86   0.0016500
