TEXTURE AT STRAIN =    0.4000
   1.132   1.148   0.763  <-- length of phase ellipsoid axes
   51.53    3.62   44.96  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
  101.39  135.31 -129.26   0.0016500
