TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
   43.20   53.78  106.62  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
  154.80   65.51 -112.61   0.0016500
