TEXTURE AT STRAIN =    1.0000
   2.223   3.215   0.128  <-- length of phase ellipsoid axes
  143.18   13.17  174.47  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
  146.32   13.28 -146.25   0.0003500
