TEXTURE AT STRAIN =    1.0000
   2.777   2.893   0.113  <-- length of phase ellipsoid axes
  137.91   78.01   44.61  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
  140.61   26.57 -139.17   0.0003500
