          Evm          Svm            E11          E22          E33          E23          E13          E12         SDEV11       SDEV22       SDEV33       SDEV23       SDEV13       SDEV12      TEMP
  0.00000E+00  0.57379E+02    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.14544E+02  0.22969E+02 -0.37513E+02 -0.51188E+00  0.48783E+01 -0.45709E+00      982.00
  0.24517E-01  0.57193E+02    0.12500E-01  0.12500E-01 -0.25000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.14675E+02  0.22724E+02 -0.37399E+02 -0.44797E+00  0.49551E+01 -0.62127E+00      982.00
  0.49038E-01  0.57084E+02    0.25000E-01  0.25000E-01 -0.50000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.14906E+02  0.22424E+02 -0.37330E+02 -0.35311E+00  0.51237E+01 -0.74240E+00      982.00
  0.73561E-01  0.57055E+02    0.37500E-01  0.37500E-01 -0.75000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.15305E+02  0.22008E+02 -0.37313E+02 -0.24013E+00  0.53794E+01 -0.83596E+00      982.00
  0.98085E-01  0.57072E+02    0.50000E-01  0.50000E-01 -0.10000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.15816E+02  0.21500E+02 -0.37316E+02 -0.10989E+00  0.56954E+01 -0.91302E+00      982.00
  0.12260E+00  0.57076E+02    0.62500E-01  0.62500E-01 -0.12500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.16329E+02  0.20978E+02 -0.37307E+02  0.75066E-02  0.59617E+01 -0.10333E+01      982.00
  0.14712E+00  0.57031E+02    0.75000E-01  0.75000E-01 -0.15000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.16735E+02  0.20540E+02 -0.37275E+02  0.86348E-01  0.60781E+01 -0.12463E+01      982.00
  0.17163E+00  0.56935E+02    0.87500E-01  0.87500E-01 -0.17500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.16975E+02  0.20250E+02 -0.37225E+02  0.11942E+00  0.60078E+01 -0.15751E+01      982.00
  0.19614E+00  0.56830E+02    0.10000E+00  0.10000E+00 -0.20000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17106E+02  0.20063E+02 -0.37169E+02  0.12702E+00  0.58643E+01 -0.19536E+01      982.00
  0.22067E+00  0.56731E+02    0.11250E+00  0.11250E+00 -0.22500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17132E+02  0.19982E+02 -0.37114E+02  0.10809E+00  0.56552E+01 -0.23839E+01      982.00
