TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
 -162.25   94.56   51.66  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
  173.08   35.15 -102.25   0.0016500
