TEXTURE AT STRAIN =    0.0500
   1.011   1.019   0.970  <-- length of phase ellipsoid axes
    8.99    2.07   -6.09  <-- Euler angles (deg) of phase ellipsoid axes
B       500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
 -177.80   33.13 -113.26   0.0016500
