TEXTURE AT STRAIN =    0.3500
   1.422   1.698   0.396  <-- length of phase ellipsoid axes
 -131.06    3.50  163.57  <-- Euler angles (deg) of phase ellipsoid axes
B       500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
   96.39   46.93 -105.08   0.0003500
