TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  102.00    9.64    9.79  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
  102.00   19.28 -102.00   0.0003500
