  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   MODE6   MODE7
   0.000   4.000   0.023   0.000   0.186   0.051   0.260   0.000   0.022
   0.025   4.000   0.021   0.000   0.183   0.052   0.263   0.000   0.019
   0.050   4.000   0.019   0.000   0.181   0.055   0.266   0.000   0.017
   0.075   4.000   0.017   0.000   0.180   0.057   0.270   0.000   0.015
   0.100   4.000   0.015   0.000   0.180   0.060   0.273   0.000   0.014
   0.125   3.000   0.012   0.001   0.180   0.064   0.278   0.000   0.013
   0.150   3.000   0.010   0.001   0.181   0.068   0.282   0.000   0.013
   0.175   3.000   0.008   0.002   0.181   0.072   0.286   0.000   0.015
   0.200   3.000   0.006   0.004   0.178   0.075   0.287   0.000   0.017
   0.225   3.000   0.004   0.007   0.172   0.076   0.285   0.000   0.020
   0.250   3.000   0.003   0.011   0.164   0.076   0.281   0.000   0.023
   0.275   5.000   0.002   0.014   0.156   0.074   0.278   0.000   0.027
   0.300   5.000   0.002   0.017   0.150   0.073   0.275   0.000   0.030
   0.325   5.000   0.001   0.019   0.146   0.072   0.272   0.000   0.034
   0.350   5.000   0.001   0.022   0.143   0.070   0.271   0.000   0.037
   0.375   5.000   0.001   0.024   0.140   0.069   0.271   0.000   0.041
   0.400   6.000   0.001   0.026   0.138   0.067   0.271   0.000   0.045
   0.425   6.000   0.001   0.028   0.136   0.066   0.272   0.000   0.049
   0.450   6.000   0.001   0.030   0.135   0.064   0.273   0.000   0.054
   0.475   6.000   0.001   0.032   0.133   0.062   0.275   0.000   0.058
   0.500   6.000   0.001   0.033   0.131   0.061   0.277   0.000   0.064
   0.525   6.000   0.001   0.035   0.130   0.059   0.279   0.000   0.069
   0.550   6.000   0.001   0.036   0.128   0.057   0.281   0.000   0.075
   0.575   6.000   0.001   0.038   0.126   0.056   0.283   0.000   0.081
   0.600   6.000   0.001   0.039   0.124   0.054   0.284   0.000   0.088
   0.625   6.000   0.000   0.040   0.122   0.053   0.286   0.000   0.095
   0.650   6.000   0.000   0.041   0.120   0.051   0.288   0.000   0.102
   0.675   6.000   0.000   0.041   0.118   0.050   0.289   0.000   0.109
   0.700   6.000   0.000   0.042   0.115   0.048   0.291   0.000   0.116
   0.725   6.000   0.000   0.042   0.113   0.047   0.292   0.000   0.124
   0.750   7.000   0.000   0.042   0.110   0.046   0.293   0.000   0.132
   0.775   7.000   0.000   0.042   0.107   0.045   0.294   0.000   0.140
   0.800   7.000   0.000   0.042   0.105   0.043   0.294   0.000   0.148
   0.825   7.000   0.000   0.042   0.102   0.042   0.294   0.000   0.156
   0.850   7.000   0.000   0.042   0.099   0.041   0.294   0.000   0.164
   0.875   7.000   0.000   0.041   0.096   0.041   0.294   0.000   0.173
   0.900   7.000   0.000   0.041   0.094   0.040   0.294   0.000   0.181
   0.925   8.000   0.000   0.040   0.091   0.039   0.294   0.000   0.189
   0.950   8.000   0.000   0.039   0.089   0.038   0.293   0.000   0.197
   0.975   8.000   0.000   0.038   0.086   0.038   0.293   0.000   0.206
   1.000   8.000   0.000   0.037   0.083   0.037   0.292   0.000   0.214
