TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  108.00    3.21  -64.99  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
  108.00    6.43 -108.00   0.0003500
TEXTURE AT STRAIN =    0.0500
   1.034   1.096   0.876  <-- length of phase ellipsoid axes
 -123.17    2.65 -102.38  <-- Euler angles (deg) of phase ellipsoid axes
B       500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
   95.85    3.87  -95.85   0.0003500
