TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
   65.86  112.28  -18.93  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
  108.00   57.85 -108.00   0.0003500
