TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  114.00   38.57   -0.45  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
  114.00   77.14 -114.00   0.0003500
