  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  21.000   0.115   0.116   0.231
   0.025  22.000   0.115   0.116   0.232
   0.050  24.000   0.115   0.116   0.232
   0.075  25.000   0.114   0.116   0.230
   0.100  26.000   0.113   0.115   0.228
   0.125  28.000   0.111   0.114   0.226
   0.150  27.000   0.109   0.113   0.224
   0.175  27.000   0.107   0.112   0.221
   0.200  28.000   0.104   0.110   0.217
   0.225  28.000   0.101   0.108   0.212
   0.250  28.000   0.098   0.105   0.206
   0.275  28.000   0.095   0.102   0.200
   0.300  28.000   0.092   0.099   0.194
   0.325  30.000   0.089   0.096   0.187
   0.350  29.000   0.086   0.092   0.181
   0.375  28.000   0.083   0.089   0.175
   0.400  28.000   0.080   0.086   0.169
   0.425  28.000   0.077   0.083   0.163
   0.450  28.000   0.075   0.080   0.158
   0.475  27.000   0.073   0.078   0.153
   0.500  27.000   0.071   0.075   0.148
   0.525  28.000   0.069   0.073   0.144
   0.550  28.000   0.067   0.071   0.140
   0.575  28.000   0.065   0.069   0.136
   0.600  28.000   0.064   0.067   0.132
   0.625  28.000   0.062   0.065   0.129
   0.650  28.000   0.061   0.064   0.126
   0.675  28.000   0.059   0.063   0.123
   0.700  28.000   0.058   0.061   0.120
   0.725  29.000   0.057   0.060   0.118
   0.750  29.000   0.055   0.059   0.116
   0.775  28.000   0.054   0.058   0.114
   0.800  26.000   0.053   0.057   0.112
   0.825  25.000   0.052   0.057   0.111
   0.850  28.000   0.052   0.056   0.110
   0.875  27.000   0.053   0.055   0.109
   0.900  27.000   0.053   0.055   0.109
   0.925  26.000   0.054   0.055   0.109
   0.950  25.000   0.055   0.055   0.110
   0.975  22.000   0.056   0.055   0.111
   1.000  22.000   0.057   0.056   0.112
