TEXTURE AT STRAIN =    0.1000
   1.100   1.144   0.786  <-- length of phase ellipsoid axes
  143.24    6.19 -113.95  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
  128.03   35.01 -127.17   0.0003500
