TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
   60.91  103.89   68.15  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
  120.00   51.42 -120.00   0.0003500
