TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  159.49  113.10 -162.08  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
  120.00   57.85 -120.00   0.0003500
