TEXTURE AT STRAIN =    0.4000
   1.579   1.631   0.371  <-- length of phase ellipsoid axes
  150.03    4.90  -68.55  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
  141.64   16.18 -137.01   0.0003500
