TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
 -137.35   93.85   98.85  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
  156.00   19.28 -156.00   0.0003500
