TEXTURE AT STRAIN =    0.4500
   1.654   1.980   0.287  <-- length of phase ellipsoid axes
  -26.97    2.79   47.49  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
  145.57   52.03 -134.68   0.0003500
