TEXTURE AT STRAIN =    0.1500
   1.042   1.050   0.910  <-- length of phase ellipsoid axes
  109.35    1.06   11.26  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
  106.53  131.41 -106.69   0.0016500
