TEXTURE AT STRAIN =    0.0500
   1.015   1.017   0.968  <-- length of phase ellipsoid axes
    2.09    0.38    0.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
  110.20  123.13 -109.19   0.0016500
