TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
 -138.00   38.57  -97.51  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
  132.67   92.92 -112.12   0.0016500
