TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  162.95  101.32   49.51  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
  148.28   75.10 -118.34   0.0016500
