TEXTURE AT STRAIN =    1.0000
   2.544   3.002   0.119  <-- length of phase ellipsoid axes
  120.03   77.70  -28.60  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
  102.16   25.03 -112.79   0.0003500
