TEXTURE AT STRAIN =    0.3000
   1.098   1.106   0.822  <-- length of phase ellipsoid axes
  -11.97    1.01  -22.85  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
  160.03   50.38 -105.99   0.0016500
