TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  -96.00   38.57  106.99  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
  163.78   52.16 -108.62   0.0016500
