
*******   STEP   1      *** NEFF=10 CALCULATION                
    1   0.131E+00   0.186E+00   0.199E+00
    2   0.711E-01   0.454E+00   0.168E+00
    3   0.406E-01   0.371E+00   0.105E+00
    4   0.265E-01   0.282E+00   0.686E-01
    5   0.189E-01   0.212E+00   0.486E-01
    6   0.141E-01   0.159E+00   0.359E-01
    7   0.107E-01   0.121E+00   0.270E-01
    8   0.808E-02   0.924E-01   0.204E-01
    9   0.611E-02   0.705E-01   0.154E-01
   10   0.464E-02   0.539E-01   0.117E-01
   11   0.353E-02   0.412E-01   0.891E-02
   12   0.268E-02   0.315E-01   0.678E-02
   13   0.205E-02   0.242E-01   0.517E-02
   14   0.156E-02   0.185E-01   0.395E-02
   15   0.119E-02   0.142E-01   0.302E-02
   16   0.110E-02   0.109E-01   0.224E-02
   17   0.832E-03   0.796E-02   0.161E-02
   18   0.608E-03   0.571E-02   0.115E-02
   19   0.434E-03   0.405E-02   0.805E-03
   20   0.306E-03   0.287E-02   0.559E-03
   21   0.213E-03   0.201E-02   0.386E-03
   22   0.148E-03   0.140E-02   0.264E-03
   23   0.101E-03   0.974E-03   0.179E-03

*******   STEP   2      *** NEFF=10 CALCULATION                
    1   0.312E-02   0.124E-01   0.630E-02
    2   0.160E-02   0.201E-01   0.432E-02
    3   0.111E-02   0.150E-01   0.290E-02
    4   0.798E-03   0.112E-01   0.209E-02
    5   0.749E-03   0.845E-02   0.145E-02
    6   0.552E-03   0.608E-02   0.106E-02
    7   0.396E-03   0.435E-02   0.776E-03
    8   0.287E-03   0.312E-02   0.553E-03
    9   0.208E-03   0.223E-02   0.403E-03
   10   0.150E-03   0.160E-02   0.313E-03
   11   0.112E-03   0.116E-02   0.240E-03
   12   0.849E-04   0.851E-03   0.172E-03

*******   STEP   3      *** NEFF=10 CALCULATION                
    1   0.306E-02   0.841E-02   0.647E-02
    2   0.157E-02   0.185E-01   0.451E-02
    3   0.109E-02   0.137E-01   0.280E-02
    4   0.750E-03   0.103E-01   0.194E-02
    5   0.559E-03   0.794E-02   0.148E-02
    6   0.525E-03   0.609E-02   0.107E-02
    7   0.397E-03   0.448E-02   0.774E-03
    8   0.291E-03   0.325E-02   0.565E-03
    9   0.212E-03   0.235E-02   0.420E-03
   10   0.157E-03   0.171E-02   0.318E-03
   11   0.117E-03   0.125E-02   0.240E-03
   12   0.884E-04   0.925E-03   0.177E-03

*******   STEP   4      *** NEFF=10 CALCULATION                
    1   0.324E-02   0.459E-02   0.742E-02
    2   0.167E-02   0.172E-01   0.523E-02
    3   0.117E-02   0.126E-01   0.288E-02
    4   0.723E-03   0.933E-02   0.179E-02
    5   0.509E-03   0.713E-02   0.138E-02
    6   0.476E-03   0.546E-02   0.987E-03
    7   0.359E-03   0.403E-02   0.708E-03
    8   0.262E-03   0.294E-02   0.515E-03
    9   0.191E-03   0.214E-02   0.391E-03
   10   0.142E-03   0.156E-02   0.303E-03
   11   0.108E-03   0.115E-02   0.229E-03
   12   0.830E-04   0.859E-03   0.167E-03

*******   STEP   5      *** NEFF=10 CALCULATION                
    1   0.368E-02   0.256E-02   0.912E-02
    2   0.219E-02   0.171E-01   0.611E-02
    3   0.128E-02   0.123E-01   0.291E-02
    4   0.709E-03   0.870E-02   0.171E-02
    5   0.474E-03   0.648E-02   0.134E-02
    6   0.441E-03   0.489E-02   0.907E-03
    7   0.326E-03   0.356E-02   0.626E-03
    8   0.231E-03   0.258E-02   0.470E-03
    9   0.166E-03   0.188E-02   0.375E-03
   10   0.127E-03   0.138E-02   0.289E-03
   11   0.996E-04   0.103E-02   0.209E-03
   12   0.760E-04   0.773E-03   0.152E-03

*******   STEP   6      *** NEFF=10 CALCULATION                
    1   0.448E-02   0.565E-02   0.109E-01
    2   0.249E-02   0.178E-01   0.705E-02
    3   0.144E-02   0.126E-01   0.316E-02
    4   0.740E-03   0.850E-02   0.172E-02
    5   0.458E-03   0.607E-02   0.133E-02
    6   0.423E-03   0.446E-02   0.853E-03
    7   0.303E-03   0.316E-02   0.559E-03
    8   0.205E-03   0.225E-02   0.431E-03
    9   0.145E-03   0.163E-02   0.358E-03
   10   0.113E-03   0.120E-02   0.275E-03
   11   0.903E-04   0.902E-03   0.191E-03

*******   STEP   7      *** NEFF=10 CALCULATION                
    1   0.517E-02   0.946E-02   0.129E-01
    2   0.289E-02   0.194E-01   0.824E-02
    3   0.143E-02   0.135E-01   0.378E-02
    4   0.868E-03   0.896E-02   0.188E-02
    5   0.483E-03   0.612E-02   0.133E-02
    6   0.434E-03   0.435E-02   0.870E-03
    7   0.299E-03   0.296E-02   0.548E-03
    8   0.197E-03   0.201E-02   0.362E-03
    9   0.129E-03   0.141E-02   0.292E-03
   10   0.933E-04   0.102E-02   0.242E-03
   11   0.749E-04   0.764E-03   0.177E-03

*******   STEP   8      *** NEFF=10 CALCULATION                
    1   0.578E-02   0.128E-01   0.146E-01
    2   0.321E-02   0.209E-01   0.919E-02
    3   0.156E-02   0.143E-01   0.417E-02
    4   0.938E-03   0.928E-02   0.200E-02
    5   0.497E-03   0.611E-02   0.136E-02
    6   0.441E-03   0.419E-02   0.867E-03
    7   0.295E-03   0.272E-02   0.514E-03
    8   0.185E-03   0.176E-02   0.319E-03
    9   0.114E-03   0.119E-02   0.264E-03
   10   0.792E-04   0.858E-03   0.225E-03

*******   STEP   9      *** NEFF=10 CALCULATION                
    1   0.628E-02   0.155E-01   0.159E-01
    2   0.344E-02   0.222E-01   0.986E-02
    3   0.165E-02   0.150E-01   0.445E-02
    4   0.986E-03   0.955E-02   0.210E-02
    5   0.507E-03   0.613E-02   0.139E-02
    6   0.447E-03   0.410E-02   0.864E-03
    7   0.292E-03   0.256E-02   0.489E-03
    8   0.177E-03   0.158E-02   0.287E-03
    9   0.103E-03   0.103E-02   0.242E-03
   10   0.686E-04   0.733E-03   0.209E-03

*******   STEP  10      *** NEFF=10 CALCULATION                
    1   0.661E-02   0.175E-01   0.166E-01
    2   0.355E-02   0.227E-01   0.102E-01
    3   0.169E-02   0.152E-01   0.458E-02
    4   0.999E-03   0.956E-02   0.214E-02
    5   0.504E-03   0.602E-02   0.138E-02
    6   0.441E-03   0.397E-02   0.844E-03
    7   0.283E-03   0.239E-02   0.460E-03
    8   0.167E-03   0.141E-02   0.255E-03
    9   0.922E-04   0.888E-03   0.219E-03

*******   STEP  11      *** NEFF=10 CALCULATION                
    1   0.681E-02   0.188E-01   0.169E-01
    2   0.357E-02   0.228E-01   0.102E-01
    3   0.168E-02   0.152E-01   0.458E-02
    4   0.987E-03   0.942E-02   0.214E-02
    5   0.492E-03   0.589E-02   0.135E-02
    6   0.429E-03   0.384E-02   0.819E-03
    7   0.273E-03   0.227E-02   0.436E-03
    8   0.158E-03   0.130E-02   0.234E-03
    9   0.851E-04   0.804E-03   0.202E-03

*******   STEP  12      *** NEFF=10 CALCULATION                
    1   0.687E-02   0.194E-01   0.168E-01
    2   0.351E-02   0.224E-01   0.993E-02
    3   0.162E-02   0.147E-01   0.445E-02
    4   0.948E-03   0.906E-02   0.207E-02
    5   0.467E-03   0.563E-02   0.129E-02
    6   0.407E-03   0.366E-02   0.779E-03
    7   0.258E-03   0.213E-02   0.409E-03
    8   0.147E-03   0.121E-02   0.214E-03
    9   0.781E-04   0.739E-03   0.185E-03

*******   STEP  13      *** NEFF=10 CALCULATION                
    1   0.683E-02   0.195E-01   0.164E-01
    2   0.339E-02   0.215E-01   0.950E-02
    3   0.154E-02   0.139E-01   0.423E-02
    4   0.892E-03   0.857E-02   0.197E-02
    5   0.437E-03   0.533E-02   0.122E-02
