    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.000     0.055     0.293     0.055     0.042     0.002     0.143     0.880     0.140     0.109     0.001
     0.025     0.058     0.293     0.056     0.042     0.002     0.136     0.911     0.149     0.111     0.001
     0.050     0.060     0.292     0.056     0.041     0.002     0.129     0.934     0.158     0.112     0.002
     0.075     0.063     0.293     0.056     0.040     0.003     0.121     0.948     0.167     0.113     0.003
     0.100     0.065     0.293     0.056     0.039     0.003     0.112     0.952     0.176     0.113     0.004
     0.125     0.068     0.294     0.056     0.038     0.003     0.103     0.948     0.186     0.113     0.005
     0.150     0.070     0.295     0.057     0.037     0.003     0.095     0.935     0.195     0.113     0.007
     0.175     0.072     0.297     0.057     0.036     0.002     0.086     0.914     0.203     0.113     0.007
     0.200     0.075     0.299     0.057     0.035     0.002     0.078     0.887     0.212     0.112     0.008
     0.225     0.076     0.301     0.057     0.035     0.001     0.071     0.856     0.220     0.111     0.009
     0.250     0.078     0.303     0.056     0.034     0.001     0.064     0.820     0.228     0.110     0.009
     0.275     0.080     0.306     0.056     0.033     0.000     0.058     0.782     0.234     0.109     0.009
     0.300     0.081     0.308     0.056     0.032     0.000     0.052     0.743     0.240     0.108     0.009
     0.325     0.082     0.310     0.055     0.031     0.001     0.047     0.704     0.246     0.106     0.009
     0.350     0.083     0.313     0.054     0.030     0.001     0.043     0.666     0.250     0.104     0.008
     0.375     0.084     0.315     0.053     0.029     0.002     0.039     0.628     0.254     0.102     0.008
     0.400     0.085     0.318     0.052     0.028     0.002     0.035     0.593     0.257     0.100     0.008
     0.425     0.086     0.320     0.051     0.027     0.003     0.032     0.559     0.260     0.097     0.007
     0.450     0.086     0.322     0.050     0.026     0.003     0.029     0.527     0.262     0.095     0.007
     0.475     0.086     0.324     0.049     0.025     0.003     0.026     0.497     0.263     0.092     0.006
     0.500     0.087     0.326     0.048     0.025     0.004     0.024     0.469     0.264     0.090     0.006
     0.525     0.087     0.328     0.046     0.024     0.004     0.022     0.443     0.265     0.087     0.005
     0.550     0.087     0.330     0.045     0.023     0.005     0.020     0.419     0.266     0.085     0.005
     0.575     0.087     0.332     0.044     0.022     0.005     0.019     0.396     0.266     0.082     0.004
     0.600     0.087     0.333     0.042     0.021     0.005     0.017     0.375     0.266     0.080     0.004
     0.625     0.087     0.335     0.041     0.020     0.006     0.016     0.356     0.265     0.077     0.004
     0.650     0.087     0.336     0.040     0.020     0.006     0.015     0.338     0.265     0.075     0.003
     0.675     0.088     0.338     0.039     0.019     0.007     0.014     0.321     0.264     0.072     0.003
     0.700     0.088     0.339     0.037     0.018     0.007     0.013     0.305     0.264     0.070     0.003
     0.725     0.087     0.341     0.036     0.017     0.008     0.012     0.291     0.263     0.068     0.003
     0.750     0.087     0.342     0.035     0.017     0.009     0.011     0.277     0.263     0.066     0.003
     0.775     0.087     0.343     0.034     0.016     0.009     0.010     0.265     0.262     0.064     0.002
     0.800     0.087     0.344     0.032     0.015     0.010     0.010     0.253     0.261     0.062     0.002
     0.825     0.087     0.345     0.031     0.015     0.011     0.009     0.242     0.260     0.061     0.002
     0.850     0.087     0.346     0.030     0.014     0.011     0.009     0.231     0.260     0.059     0.002
     0.875     0.087     0.347     0.029     0.014     0.012     0.008     0.221     0.259     0.057     0.002
     0.900     0.087     0.348     0.028     0.013     0.012     0.008     0.222     0.259     0.056     0.002
     0.925     0.087     0.348     0.028     0.013     0.013     0.007     0.222     0.260     0.054     0.002
     0.950     0.086     0.348     0.027     0.012     0.014     0.007     0.222     0.260     0.053     0.002
     0.975     0.086     0.349     0.026     0.012     0.014     0.006     0.222     0.261     0.052     0.003
     1.000     0.086     0.349     0.025     0.011     0.015     0.006     0.222     0.261     0.051     0.003
